#T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-11.922	-10.191	-12.263	-11.220	85.933	38.695	63.901	73.163
-4.931	-1.962	-3.578	-6.478	205.371	46.856	76.767	152.207
-4.076	-1.605	-3.222	-4.897	152.074	68.496	128.920	184.538
-2.825	-3.235	-40.130	-41.876	71.717	66.522	229.954	311.560
-1.167	-1.284	-107.968	-108.318	181.670	119.320	-1390.251	-1298.712
-2.417	-3.285	-4.254	-2.092	133.820	89.085	64.078	43.258
-3.374	-5.306	-6.206	-4.837	40.047	65.288	19.107	37.040
-1.191	-1.637	-3.229	-3.864	125.704	80.649	576.207	605.694
-1.339	-3.575	-5.012	-2.200	71.093	94.981	156.045	116.959
-2.189	-2.423	-3.838	-3.979	67.108	67.187	245.420	239.870
-2.467	-1.300	-3.480	-3.879	157.122	100.297	177.249	246.063
-6.621	-4.044	-5.070	-7.601	362.036	58.536	46.042	47.701
-1.248	-2.633	-4.826	-2.172	115.817	193.467	216.073	152.615
-3.724	-6.359	-7.499	-5.346	45.330	87.523	63.293	47.192
-2.817	-3.071	-4.030	-3.395	444.179	267.820	37.389	39.724
-1.992	-2.121	-3.105	-3.199	72.184	13.059	280.627	317.652
-1.479	-3.260	-4.934	-1.802	77.896	104.612	63.530	54.556
